id,link,precio_normal,precio_online,precio_oh
46,https://www.plazavea.com.pe/laptop-hp-17-cn-intel-i5-12gbram-1tb-windows-10-100198536/p,"['4,280']","['3,299']",[]
47,https://www.plazavea.com.pe/laptop-hp-17-ca-amd-ryzen-5-16gbram-256gb-ssd-windows-10-100198532/p,"['3,890']","['2,999']",[]
48,https://www.plazavea.com.pe/laptop-lenovo-15iil-intel-i7-8gbram-256gb-ssd-x360-touch-win10-100167636/p,"['5,180']","['3,989']",[]
49,https://www.plazavea.com.pe/laptop-lenovo-s340-intel-i7-8gb-ram-256gb-ssd-100167597/p,"['4,670']","['3,599']",[]
50,https://www.plazavea.com.pe/combo-hp-250-g8-core-i5-1035g1-8gb-ram-1tb-hdd-15-6-hd-freedos-mochila-mouse-100143798/p,"['2,999']","['2,499']",[]
51,https://www.plazavea.com.pe/combo-hp-laptop-250-g7-core-i3-4gb-ram-1tb-hdd-15-6-mochila-prelude-mouse-inalambrico-100123581/p,"['2,700']","['1,799']",[]
52,https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-8gb-ram-256gb-ssd-freedos-100136293/p,"['2,350']","['1,999']",[]
53,https://www.plazavea.com.pe/base-refrigerante-para-laptops-wesdar-100393611-100393611/p,['99'],['59'],[]
54,https://www.plazavea.com.pe/soporte-startech-base-portatil-ergonomica-ajustable-para-laptops-ltriserp-100375918/p,['249'],['129'],[]
55,https://www.plazavea.com.pe/laptop-euro-system-cyber-plus-metalica-core-i3-8-gb-ram-256-ssd-15-6-fhd-ips-2-usb-3-0-1-hdmi-1-m-100204430/p,[],"['2,320']",[]
56,https://www.plazavea.com.pe/laptop-lenovo-v15-iil-15-6-core-i5-1-tb-hdd-8-gb-ram-video-nvidia-100202909/p,[],"['3,359']",[]
57,https://www.plazavea.com.pe/laptop-lenovo-v14-iil-14-core-i5-256-ssd-8-gb-ram-100202908/p,[],"['3,179']",[]
58,https://www.plazavea.com.pe/laptop-lenovo-v15-iil-15-6-core-i7-1-tb-hdd-8-gb-ram-100202907/p,[],"['3,769']",[]
59,https://www.plazavea.com.pe/adaptador-ugreen-usb-tipo-c-a-usb-3-0-con-llavero-para-laptops-100191733/p,['59'],['34'],[]
60,https://www.plazavea.com.pe/adaptador-ugreen-usb-tipo-c-a-usb-3-0-para-celular-y-laptops-negro-100191729/p,['49'],['29'],[]
61,https://www.plazavea.com.pe/laptop-hp-255-g8-amd-ryzen-3-3250u-1tb-hdd-8gb-ram-15-6-fhd-freedos-100191239/p,"['2,300']","['1,799']",[]
62,https://www.plazavea.com.pe/laptop-dell-latitude-3410-core-i3-10110u-1tb-hdd-4gb-ram-14-hd-freedos-100190713/p,"['1,948']","['1,749']",[]
63,https://www.plazavea.com.pe/laptop-lenovo-ideapad-s145-14iil-sin-sistema-operativo-100181160/p,[],"['2,499']",[]
64,https://www.plazavea.com.pe/laptop-lenovo-ideapad-flex-5-100181159/p,[],"['4,299']",[]
65,https://www.plazavea.com.pe/laptop-lenovo-ideapad-1-100181158/p,[],"['2,049']",[]
66,https://www.plazavea.com.pe/laptop-gamer-msi-sword-15-a11udintel-core-i7-11800h-ram-8gb-512gb-ssd-white-black-100180752/p,"['8,570']","['5,999']",[]
67,https://www.plazavea.com.pe/laptop-lenovo-ideapad-3-14-gl05-intel-n5030-ram-4gb-storage-128gb-ssd-platinum-grey-100180736/p,"['2,764']","['1,935']",[]
68,https://www.plazavea.com.pe/macbook-pro-apple-m1-chip-8gb-ram-256ssd-space-gray-twelve-south-suitcase-100180251/p,"['8,199']","['7,099']",[]
69,https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-space-gray-twelve-south-suitcase-100180247/p,"['6,399']","['5,589']",[]
70,https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-gold-twelve-south-suitcase-100180246/p,"['6,199']","['5,589']",[]
71,https://www.plazavea.com.pe/laptop-gamer-plus-intel-core-i7-16-gb-ram-512-ssd-100168934/p,[],"['4,420']",[]
72,https://www.plazavea.com.pe/laptop-eurobook-pro-14-1%E2%80%9D-fhd-ips-celeron-j4115-quad-core-8gb-256-ssd-100168933/p,[],"['1,850']",[]
73,https://www.plazavea.com.pe/laptop-euro-system-euro-plus-core-i5-8350u-8-gb-ram-512-ssd-15-6-fhd-ips-gforce-mx150-2-gb-100168932/p,[],"['3,540']",[]
74,https://www.plazavea.com.pe/laptop-lenovo-15itl-intel-i7-8gb-ram-512gb-ssd-x360touch-win10-100167599/p,"['5,840']","['4,499']",[]
75,https://www.plazavea.com.pe/laptop-chuwi-herobook-pro-14-1-funda-100163056/p,[],"['1,619']",[]
76,https://www.plazavea.com.pe/notebook-dell-vostro-14-3400-14-hd-core-i5-1135g7-de-hasta-4-2ghz-4gb-ddr4-1tb-sata-100158511/p,"['3,699']","['2,999']",[]
77,https://www.plazavea.com.pe/mesa-ergonomica-idock-multifuncional-con-cooler-para-laptops-100154986/p,['250'],['159'],[]
78,https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-8gb-ram-256gb-ssd-hdd-1tb-linux-100154698/p,"['3,699']","['2,549']",[]
79,https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-8gb-ram-256gb-ssd-freedos-garantia-1-ano-100154694/p,"['3,199']","['2,399']",[]
80,https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-16gb-ram-256gb-ssd-freedos-garantia-1-ano-100154691/p,"['3,399']","['2,599']",[]
81,https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-16gb-ram-256gb-ssd-hdd-1tb-linux-100154690/p,"['3,899']","['2,749']",[]
82,https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-16gb-ram-256gb-ssd-linux-100154689/p,[],"['3,499']",[]
83,https://www.plazavea.com.pe/laptop-asus-14--hd-m08470-intel-celeron-n4000-4gb-ram-64gb-ssd-w10-reacondicionado-100154148/p,"['2,129']","['1,129']",[]
84,https://www.plazavea.com.pe/laptop-lenovo-14-81vu000jus-intel-n5030-4gb-128gb-ssd-w10-100154146/p,"['2,999']","['1,499']",[]
85,https://www.plazavea.com.pe/laptop-hp-14-dk1022wm-amd-ryzen-3-4gb-ram-128gb-ssd-win10-100154139/p,"['2,999']","['1,499']",[]
86,https://www.plazavea.com.pe/laptop-hp-14-dq1025nr-14--hd-intel-core-i3-4gb-ram-128gb-ssd-reacondicionado-100154134/p,"['2,999']","['1,349']",[]
87,https://www.plazavea.com.pe/laptop-hp-14%E2%80%9D-dk1032wm-amd-ryzen-3-3250u-4gb-ram-128gb-ssd-w10-100154133/p,"['3,469']","['1,499']",[]
88,https://www.plazavea.com.pe/laptop-dell-latitude-3310d-133--hd-intel-core-i3-8-4gb-ram-128gb-ssd-w10-reacondicionado-100154131/p,"['2,869']","['1,429']",[]
89,https://www.plazavea.com.pe/laptop-lenovo-ideapad-81w10094us-15-6-hd-amd-ryzen-3-4gb-ram-128gb-ssd-100154127/p,"['3,379']","['1,599']",[]
90,https://www.plazavea.com.pe/notebook-dell-vostro-3400-445cx-14-hd-core-i5-1135g7-4gb-ddr4-1tb-100154083/p,"['3,299']","['2,799']",[]
91,https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-space-gray-100153054/p,"['6,599']","['5,299']",[]
92,https://www.plazavea.com.pe/laptop-dell-latitude-3410-core-i7-10510u-8gb-256gb-ssd-14-fhd-100152054/p,"['4,999']","['4,599']",[]
93,https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-8gb-ram-256gb-ssd-linux-100152053/p,"['3,399']","['2,349']",[]
94,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-1tb-ssd-silver-late-2020-100151793/p,"['12,999']","['10,945']",[]
95,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-2tb-ssd-space-gray-late-2020-100151792/p,"['13,889']","['13,075']",[]
96,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-2tb-ssd-silver-late-2020-100151790/p,"['13,899']","['13,075']",[]
97,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-8gb-256gb-ssd-space-gray-late-2020-100151789/p,"['7,995']","['6,465']",[]
98,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-8gb-512gb-ssd-space-gray-late-2020-100151788/p,"['7,999']","['7,185']",[]
99,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-8gb-512gb-ssd-silver-late-2020-100151787/p,"['7,999']","['7,185']",[]
100,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-8gb-256gb-ssd-silver-late-2020-100151786/p,"['7,599']","['6,465']",[]
101,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-1gb-ssd-space-gray-late-2020-100151785/p,"['12,999']","['10,945']",[]
102,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-512gb-ssd-silver-late-2020-100151784/p,"['10,999']","['9,319']",[]
103,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-256gb-ssd-space-gray-late-2020-100151783/p,"['8,999']","['8,395']",[]
104,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-256gb-ssd-silver-late-2020-100151782/p,"['8,999']","['8,395']",[]
105,https://www.plazavea.com.pe/apple-macbook-air-13-3-chip-m1-16gb-512gb-ssd-silver-late-2020-100151780/p,"['9,985']","['8,065']",[]
106,https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-512gb-ssd-space-gray-late-2020-100151778/p,"['10,999']","['9,319']",[]
107,https://www.plazavea.com.pe/apple-macbook-air-13-3-chip-m1-16gb-512gb-ssd-space-gray-late-2020-100151777/p,"['8,265']","['6,805']",[]
108,https://www.plazavea.com.pe/laptop-hp-15-ef1020la-15-6-amd-ryzen-7-ssd-512gb-ran-8gb-win-10-100144469/p,"['3,590']","['3,450']",[]
109,https://www.plazavea.com.pe/notebook-hp-250-g8-15-6-pulgadas-hd-led-intel-core-i3-1005g1-1-20-3-40ghz-4gb-ddr4-1tb-sata-100141720/p,"['3,499']","['2,299']",[]
110,https://www.plazavea.com.pe/laptop-asus-vivobook-x413ja-211-vbwb-i3-1005g1-4gb-128gb-ssd-14-fhd-windows-10-100139862/p,"['2,499']","['2,299']",[]
111,https://www.plazavea.com.pe/notebook-dell-2-in-1-inspiron-14-5410-14-0-fhd-wva-core-i3-1125g4-windows-10-home-100139859/p,"['4,599']","['3,999']",[]
112,https://www.plazavea.com.pe/laptop-chuwi-herobook-pro-14-1-mochila-100138453/p,[],"['1,799']",[]
113,https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-gold-100137023/p,"['6,399']","['5,299']",[]
114,https://www.plazavea.com.pe/laptop-hp-tactil-156%E2%80%9D-dy1025nr-intel-core-i3-10%C2%BA-4gb-ram-256gb-ssd-w10-reacondicionado-100136040/p,"['3,449']","['2,149']",[]
115,https://www.plazavea.com.pe/notebook-2-en-1-advance-cn4048-10-1-ips-intel-celeron-n3350-1-10-ghz-4gb-ram-64gb-100131781/p,"['1,399']",['989'],[]
116,https://www.plazavea.com.pe/notebook-asus-vivobook-x413ja-14-fhd-core-i3-1005g1-128gb-ssd-4gb-ddr4-windows-10-100127374/p,"['3,199']","['2,119']",[]
117,https://www.plazavea.com.pe/laptop-asus-chromebook-intel-celeron-n3350-4gb-ram-64gb-156%E2%80%9D-fhd-reacondicionado-100126148/p,"['1,679']",['949'],[]
118,https://www.plazavea.com.pe/laptop-teclast-f7-plus-ii-14-n4120-8gb-256gb-w10-home-100124102/p,[],"['1,999']",[]
119,https://www.plazavea.com.pe/laptop-jumper-ezbook-x3-13-3-n3350-4gb-64gb-w10-home-100124099/p,[],"['1,149']",[]
120,https://www.plazavea.com.pe/laptop-jumper-ezbook-x3-13-3-n3350-4gb-128gb-w10-home-100124098/p,[],"['1,299']",[]
121,https://www.plazavea.com.pe/laptop-jumper-ezbook-x3-13-3-n3350-4gb-128gb-w10-home-office-365-100124097/p,[],"['1,399']",[]
122,https://www.plazavea.com.pe/laptop-jumper-ezbook-x3-13-3-j3455-8gb-128gb-w10home-100124094/p,[],"['1,379']",[]
123,https://www.plazavea.com.pe/combo-laptop-hp-240-g7-core-i3-1005g1-4gb-ram-1tb-hdd-14-mochila-prelude-mouse-inalambrico-100123580/p,"['2,349']","['1,899']",[]
124,https://www.plazavea.com.pe/laptop-dell-vostro-14-3405-14-amd-ryzen-5-8gb-ram-ddr4-256gb-ssd-amd-radeon-vega-8-graphics-linux-100123579/p,"['2,759']","['2,299']",[]
125,https://www.plazavea.com.pe/laptop-dynabook-toshiba-a30g-intel-celeron-5205u-4gb-ram-128gb-ssd-w10-133-fhd-100120419/p,"['1,999']","['1,179']",[]
126,https://www.plazavea.com.pe/laptop-hp-245-g7-amd-athlon-silver-3050u-4gb-ram-ddr4-500gb-hdd-14-windows-10-home-100120068/p,"['1,899']","['1,699']",[]
127,https://www.plazavea.com.pe/macbook-pro-apple-m1-chip-8gb-ram-256gb-ssd-space-gray-100116169/p,"['7,699']","['6,499']",[]
128,https://www.plazavea.com.pe/notebook-dell-inspiron-15-3501-15-6-hd-core-i3-1005g1-hasta-3-4-ghz-4gb-ddr4-1tb-sata-100115956/p,"['2,999']","['2,399']",[]
129,https://www.plazavea.com.pe/laptop-lenovo-ideapad-1-intel-n5030-1-1ghz-14igl05-81vu-4gb-128gb-ssd-14-hd-ice-blue-100115105/p,[],"['2,449']",[]
130,https://www.plazavea.com.pe/laptop-dell-vostro-3400-14-intel-core-i7-1165g7-8gb-ram-512gb-ssd-mx330-2gb-sin-sist-operativo-100111999/p,"['4,299']","['3,899']",[]
131,https://www.plazavea.com.pe/laptop-lenovo-v14-14-ryzen-7-4700u-8gb-ram-1tb-hdd-freedos-100111997/p,"['3,199']","['2,999']",[]
132,https://www.plazavea.com.pe/studio-dumbbell-set-de-pesas-10-kilos-x2-mancuernas-vinilo-live-up-100110126/p,['400'],['249'],[]
133,https://www.plazavea.com.pe/studio-dumbbell-set-de-pesas-8-kilos-x2-mancuernas-vinilo-live-up-100110125/p,['250'],['209'],[]
134,https://www.plazavea.com.pe/tobilleras-mu%C3%B1equeras-con-peso-de-medio-kilo-x2-pesas-gym-gluteos-argym-100110124/p,['90'],['58'],[]
135,https://www.plazavea.com.pe/studio-dumbbells-set-de-pesas-6-kilos-x2-mancuernas-vinilo-live-up-100110123/p,['250'],['169'],[]
136,https://www.plazavea.com.pe/laptop-hp-240-g7-intel-celeron-n4100-4gb-ram-ddr4-1tb-hdd-14-hd-freedos-100104357/p,"['1,949']","['1,399']",[]
137,https://www.plazavea.com.pe/laptop-lenovo-intel-core-i3-10%C2%BA-4gb-128gb-ssd-w10-156%E2%80%9D-reacondicionado-100104053/p,"['3,249']","['1,719']",[]
138,https://www.plazavea.com.pe/laptop-lenovo-thinkbook-14-iml-14-fhd-core-i5-10210u-8gb-ddr4-256gb-ssd-100102228/p,"['5,199']","['4,229']",[]
139,https://www.plazavea.com.pe/laptop-hp-250-g7-ci3-1005g1-8gb-ram-256gb-ssd-15-6-hd-freedos-100097118/p,"['2,999']","['1,899']",[]
140,https://www.plazavea.com.pe/laptop-chuwi-herobook-pro-100093851/p,[],"['1,749']",[]
141,https://www.plazavea.com.pe/adaptador-mini-sata-a-usb-2-0-para-lectoras-de-laptops-100090541/p,['60'],['29'],[]
142,https://www.plazavea.com.pe/laptop-dynabook-toshiba-tecra-a40-ci3-10110u-ddr4-8gb-256gb-ssd-m-2-14-hd-freedos-100086067/p,"['2,499']","['1,999']",[]
143,https://www.plazavea.com.pe/laptop-dell-vostro-3400-14-intel-core-i5-1135g7-8gb-ram-1tb-hdd-windows-10-pro-100086059/p,"['3,749']","['3,349']",[]
144,https://www.plazavea.com.pe/laptop-hp-250-g7-15-6-intel-core-i3-1005g1-ram-8gb-hdd-1tb-freedos-100086057/p,"['3,199']","['2,449']",[]
145,https://www.plazavea.com.pe/laptop-hp-250-g7-15-6-intel-core-i3-1005g1-ram-4gb-hdd-1tb-freedos-100086055/p,"['2,999']","['2,349']",[]
146,https://www.plazavea.com.pe/laptop-hp-240-g7-intel-core-i3-1005g1-4gb-ram-1tb-hdd-freedos-100086037/p,[],"['2,349']",[]
147,https://www.plazavea.com.pe/laptop-hp-15-dw0083-15-6-pentium-4gb-128gb-ssd-scarlet-red-100085677/p,"['2,936']","['2,055']",[]
148,https://www.plazavea.com.pe/soporte-multifuncional-plegable-para-laptop-100077098/p,['89'],['44'],[]
149,https://www.plazavea.com.pe/laptop-hp-250-g8-i3-1005g1-4gb-1tb-15-6-freedos-100076448/p,"['3,199']","['2,199']",[]
150,https://www.plazavea.com.pe/laptop-hp-250-g8-i3-1005g1-4gb-1tb-15-6-windows-10-100076446/p,"['3,399']","['1,890']",[]
151,https://www.plazavea.com.pe/notebook-hp-pavilion-gaming-15-dk1025la-15-6-ips-core-i5-10300h-8gb-ddr4-256gb-ssd-100072947/p,"['5,199']","['4,099']",[]
152,https://www.plazavea.com.pe/laptop-lenovo-v14-iil-intel-core-i7-14-8gb-ram-1tb-hdd-2gb-nvidia-mx-350-freedos-100055891/p,[],"['3,999']",[]
153,https://www.plazavea.com.pe/notebook-asus-vivobook-14-ips-fhd-core-i5-1135g7-512gb-ssd-w10-home-100050753/p,"['4,999']","['3,999']",[]
154,https://www.plazavea.com.pe/laptop-hp-elitebook-x360-1030-g3-core-i7-8550u-8-gb-512-gb-ssd-100028093/p,"['10,999']","['7,129']",[]
155,https://www.plazavea.com.pe/laptop-hp-elitebook-x360-1030-g3-multi-touch-2-en-1-core-i7-8650u-16gb-ddr4-512ssd-100028062/p,"['14,039']","['9,899']",[]
156,https://www.plazavea.com.pe/laptop-hp-gaming-15-dk1025la-15-6-core-i5-10300h-8gb-256gb-ssd-freedos-100009681/p,"['3,899']","['3,599']",[]
157,https://www.plazavea.com.pe/laptop-hp-250-g7-core-i5-1035-8gb-ram-1tb-hdd-15-6-freedos-100008137/p,"['2,799']","['2,599']",[]
158,https://www.plazavea.com.pe/laptop-hp-255-g7-amd-ryzen-3-4gb-ram-1tb-hdd-15-6-freedos-100008124/p,"['1,999']","['1,799']",[]
159,https://www.plazavea.com.pe/laptop-hp-250-g7-1035-intel-core-i5-8gb-ram-1tb-hdd-15-6-freedos-100008115/p,"['2,799']","['2,599']",[]
160,https://www.plazavea.com.pe/laptop-hp-250-g7-intel-core-i3-4gb-ram-1tb-hdd-15-6-freedos-100008106/p,"['2,349']","['1,799']",[]
161,https://www.plazavea.com.pe/laptop-chuwi-corebook-pro-13-99979701/p,[],"['2,499']",[]
162,https://www.plazavea.com.pe/base-con-ventilador-para-laptops-xta-150-99966665/p,[],['42'],[]
163,https://www.plazavea.com.pe/laptop-dell-vostro-14-3480-i5-8265u-8gb-1tb-windows-10-pro-99940281/p,"['5,999']","['4,049']",[]
164,https://www.plazavea.com.pe/laptop-dell-ultrabook-xps-9365-13-core-i5-7y54-256-ssd-8gb-w10-99940277/p,"['12,999']","['10,899']",[]
165,https://www.plazavea.com.pe/laptop-dell-latitude-notebook-5490-15-6-intel-core-i7-8650u-1-90ghz-16gb-1tb-w10pro-99940276/p,"['8,999']","['6,519']",[]
166,https://www.plazavea.com.pe/laptop-dell-latitude-7400-core-i7-8665u-16gb-disco-512gb-ssd-w10-pro-99940268/p,"['10,999']","['8,209']",[]
167,https://www.plazavea.com.pe/laptop-dell-latitude-5490-core-i5-8250u-1-6-ghz-8gb-1tb-bluetooth-win-10-pro-64-bits-7wk07-99940267/p,"['4,999']","['4,269']",[]
168,https://www.plazavea.com.pe/laptop-dell-latitude-5490-core-i5-8250u-1-6-ghz-16gb-512gb-ssd-win-10-pro-64-bits-t8rjm-99940266/p,"['6,899']","['5,649']",[]
